guild_name,realm_name
oil lords of dubai,Darkspear
MyHeartColdLikeBenNJerry,Tichondrius
winter is coming,Frostmourne
Holy Legion,Draka
The Lords Of KT,Kel'Thuzad
Netflix and Chill,Darkspear
N A A C P,Mal'Ganis
Hey im almost mvp,Tichondrius
Not Amazing Just Korean,Tichondrius
ya,Blackrock
Storehouse,Barthilas
wod,Mal'Ganis
washed after one season,Sargeras
sup fresh my turn baby,Frostmourne
Best Friends Forevers,Black Dragonflight
West Coast Gaming,Kel'Thuzad
Yolo to Glad,Sargeras
Poisoned,The Underbog
wtb fel flame,Tichondrius
Crusaders,Suramar
PVE POWER,Sargeras
smokin blunts in traffic,Sargeras
thotline bling,Tichondrius
For Them,Ragnaros
Blades of Wrath,Icecrown
Propitious,Darkspear
dont inspect me,Sen'jin
Couch Potato,Frostmourne
ii kagen ni shiro,Korgath
netflix and chill,Tichondrius
Astral Raiders,Frostmourne
monk is life,Frostmourne
Heavens Elite Council,Undermine
Endless Gaming,Kel'Thuzad
Gamers League,Darkspear
Pathogen,Lightbringer
do my dance,Darkspear
i want to die,Tichondrius
eat sleep pvp repeat,Sargeras
Ball So Hard Gaming,Staghelm
Overdosed On Confidence,Frostmourne
Légendáry,Darkspear
idiot club,Caelestrasz
its not polite to stare,Antonidas
bae or bye,Thunderhorn
Man of the Year,Tichondrius
erps for days,Moon Guard
fashionista,Frostmourne
The Dirty Dancer,Korgath
Haters Make Me Famous,Archimonde
Plebians,Mal'Ganis
bad company,Emerald Dream
The ORLY Factor,Deathwing
Cakes of Wrath,Icecrown
oG,Darkspear
The Plague Doctors,Tichondrius
Savage and the dream,Gorgonnash
CrossCC,Frostmourne
PVP WOWER ONLY,Tichondrius
Men At Work,Kel'Thuzad
BloodBound,Frostwolf
started from the bottom,Exodar
VendorZ,Illidan
hey im mvp,Tichondrius
Banana Boys,Stormrage
Sÿnergic,Sargeras
hay im mvp,Tichondrius
THE DREAM TEAM,Spinebreaker
F E A R,Twisting Nether
BOURNI AND FLO,Tichondrius
one lesson per day,Tichondrius
elwynn n chill,Tichondrius
lovebug,Kel'Thuzad
Trolling is a Art,Darkspear
wow girls,Darkspear
Right Click tø Attack,Kel'Thuzad
EnterpriseE,Illidan
Snäpped,Deathwing
High Latency,Nemesis
In The Clouds,Kel'Thuzad
Ancient,Dragonmaw
Hordes Demise,Caelestrasz
Random Mayhem,Frostmourne
bESt dK in tHE MiLkyWay,Tichondrius
I wish it was mop,Bleeding Hollow
kite gods,Tichondrius
WTB RATING,Tichondrius
hey im xuena,Tichondrius
hi,Stormreaver
Disparate,Sargeras
IMA WHALE OORAAROAOOAA,Darkspear
from the streets,Kel'Thuzad
Immortal Souls,Kel'Thuzad
Try Hard Nerds,Illidan
Gosu Racial FTW,Tichondrius
Tyrandes Silence,Darkspear
Fire Holinka,Ner'zhul
MurderLicense,Borean Tundra
HORDES MINIONS,Frostmourne
Still Ballin,Bloodhoof
