guild_name,realm_name
stephcurry with the shot,Emerald Dream
Endgame Theory,Tichondrius
F E A R,Twisting Nether
Free At Last,Eldre'Thalas
The Gods,Tortheldrin
sniped,Tichondrius
The Iron Ring,Gorefiend
POO VIDEO ANALYST,Emerald Dream
netflix and chill,Tichondrius
compLexity Zero,Moon Guard
Gurubashi Goons,Sargeras
Origins,Korgath
Prestîge,Kel'Thuzad
Endless Gaming,Kel'Thuzad
Cesaro Section,Kel'Thuzad
Defined,Darkspear
Randy Badger,Kel'Thuzad
DONT LET DREAMS B DREAMS,Kael'thas
started from the bottom,Exodar
Banana Boys,Stormrage
bay life,Stonemaul
Noc,Emerald Dream
N K,Aman'Thul
Blue team,Frostmourne
PVPTURBO,Nemesis
Im Easy,Frostmourne
N A A C P,Mal'Ganis
BlackList,Azralon
Knights of Arcadia,Dark Iron
African Jew Crew,Frostmane
Twitch and Chill,Tichondrius
Who Pulled That,Arygos
Im a Pelican,Darkspear
We Gøt This,Frostmourne
ii kagen ni shiro,Korgath
Live And Let Die,Drakkari
Vino y Faso,Ragnaros
Weekend Warrior,Dragonmaw
Netflix and Chill,Madoran
Fatalize,Korgath
Netflix n Chill,Aggramar
The Conquerors,Hydraxis
Outcast,Bleeding Hollow
Stacks In Fire,Zul'jin
Try Hard Nerds,Illidan
Blasé,Darkspear
nice try,Sargeras
Freelancers,Wildhammer
C N,Tichondrius
Team NVus,Sargeras
Cheap Shot,Akama
genius club,The Scryers
Get Rekt You Salty Scrub,Tichondrius
The Emerald Triangle,Aerie Peak
washed after one season,Sargeras
Queens,Tichondrius
MurderLicense,Shadowsong
At least we have stables,Alterac Mountains
New Life,Sargeras
up in the ranks,Tichondrius
wod,Mal'Ganis
Vanquishers,Arygos
Immortal Souls,Kel'Thuzad
Captains of Chaos,The Venture Co
FINESSE,Burning Blade
Conviction,Bleeding Hollow
BBQ Gaming,Stormrage
Idoneus,Silvermoon
Bad Bishez Only,Kel'Thuzad
Rise as One,Barthilas
eat sleep pvp repeat,Sargeras
Wod Wod Wod Wod,Sargeras
Bløødbath,Alterac Mountains
HardcoreCasuals,Sargeras
RMP is My Life,Nemesis
Atrocity,Lightbringer
Focus,Aerie Peak
Blackdawn,Stormscale
Is Pretty Much Awesome,Sargeras
Lethal Rebellion,Quel'Thalas
Thrust,Dark Iron
Disrespect u Disconnect,Darkspear
Death And Taxes,Kel'Thuzad
The BFF Club,Zuluhed
Gosu Racial FTW,Tichondrius
Godcomp to a Nonbeliever,Kel'Thuzad
Still Ballin,Bloodhoof
voljin bruddaz,Jubei'Thos
its not polite to stare,Antonidas
SUPER FRIENDSHIP GUILD,Tichondrius
Tha Femili,Saurfang
Jskips Noodle House,Magtheridon
PvP HATE CRIMES,Mal'Ganis
Savage and the dream,Gorgonnash
In The Clouds,Kel'Thuzad
Exergy,Proudmoore
Holy Legion,Draka
Ebay Bro,Norgannon
