player_name,realm_name,guild_name
Kubzy,Kel'Thuzad,lovebug
Tragicmofugu,Chromaggus,
Goreckj,Mug'thol,GG When I PvP
Nòlifer,Tichondrius,
Smexxin,Tichondrius,hey im mvp
Neverclonëx,Tichondrius,Not Amazing Just Korean
Geus,Frostwolf,
Absterge,Tichondrius,up in the ranks
Vérsacex,Sargeras,In The Cut
Angrycubanx,Tichondrius,Not Amazing Just Korean
Mopmage,Emerald Dream,stephcurry with the shot
Ozz,Altar of Storms,hey im ozz
Konnx,Sargeras,eat sleep pvp repeat
Derivatíve,Kel'Thuzad,Godcomp to a Nonbeliever
Syfauxe,Thorium Brotherhood,
Gékz,Magtheridon,
Gsp,Tichondrius,MyHeartColdLikeBenNJerry
Iconicus,Darkspear,do my dance
Langbang,Darkspear,Vector
Revolutio,Darkspear,do my dance
Shamangød,Bleeding Hollow,the clubhouse
Hamshamx,Darkspear,do my dance
Sponnergodx,Tichondrius,Plebs
Ripchimpoe,Undermine,
Cereiand,Saurfang,Dread
Dillypoo,Sargeras,eat sleep pvp repeat
Champloos,Tichondrius,
Exi,Terokkar,
Fitwizard,Kel'Thuzad,I Just Work Here
Balance,Rexxar,im flacid
Dælas,Zuluhed,Tauren Tipping
Halô,Zuluhed,
Syntholsight,Sargeras,Straight Savage
Ssdsjr,Tichondrius,Not Amazing Just Korean
Zark,Kel'Thuzad,
Glinkz,Kil'jaeden,Tryhardz
Wealthysockx,Tichondrius,The Herb Lounge
Rabx,Bleeding Hollow,
Bobey,Gorgonnash,Savage and the dream
Danksight,Stormreaver,
Idiotferal,Korgath,
Savageclap,Illidan,wompin
Høtlinebling,Emerald Dream,Technique
Claws,Bleeding Hollow,who are you talkin to
Rubcubb,Tichondrius,hey im mvp
Fabricated,Bleeding Hollow,unknown hero
Goosterd,Tichondrius,Sry babe Im on cooldown
Chunlî,Tichondrius,
Avengelyne,Kel'Thuzad,
Mxtch,Bleeding Hollow,who are you talkin to
Pinkrangerz,Emerald Dream,dont tell your mother
Cdooki,Tichondrius,hey im mvp
Ocean,Sargeras,
Shapesx,Kel'Thuzad,
Esandies,Sargeras,wod is fun and balanced
Kollektiv,Bonechewer,oO Faith n Freedom Oo
Allarten,Kel'Thuzad,
Wheatlol,Kel'Thuzad,ayy Imao
Starship,Mal'Ganis,Dads of WoW
Wisteriya,Tichondrius,
Neverdeadx,Tichondrius,hey im mvp
Gorecki,Mug'thol,
Flopsfordays,Darkspear,Propitious
Tso,Drenden,
Rankonedeath,Darkspear,do my dance
Coilofwrath,Darkspear,Starbucks Coffee
Fitz,Frostmourne,fashionista
Sereba,Moon Guard,erps for days
Mildmagician,Khadgar,
Druidgodtko,Trollbane,Evolução
Lovemypillar,Ravenholdt,
Dwaynewavex,Area 52,Free To Good Home
Ksham,Sargeras,Hidden Legion
Livinpink,Zul'jin,A R M A T A
Kocakolo,Tichondrius,hey im mvp
Clarityxo,Tichondrius,one lesson per day
Verydmgthanu,Darkspear,ninety nine problems
Smexxn,Tichondrius,hey im mvp
Rlybusy,Sargeras,DirtySouthBoyz
Hadrion,Skullcrusher,Best Friends Forevers
Dipi,Korgath,ii kagen ni shiro
Vellido,Darkspear,Vector
Aurora,Nemesis,Flat Out Fabulous
Koreeanlol,Shadowmoon,xoxo
Graycen,Ravenholdt,Victoria Vel Nex
Goreckis,Mug'thol,GG When I PvP
Inviabby,Tichondrius,im fine
Rhythmic,Darkspear,pwners
Dyllbar,Tichondrius,hey im mvp
Lushy,Tichondrius,hey im mvp
Sugarbeet,Cenarion Circle,
Wormcat,Sargeras,GoldCMCarrys
Heuheuhuehue,Kel'Thuzad,I Just Work Here
Magnusz,Lothar,
Imaginative,Stormrage,Hardcore Fishing Guild
Gusterd,Tichondrius,Potato Dream
Gregx,Sargeras,washed after one season
Pikabooiseeu,Tichondrius,Man of the Year
Asbur,Bleeding Hollow,who are you talkin to
Couragé,Emerald Dream,bad company
